season_id,division,matches,teams,complete,date_min,date_max,missing_time,missing_core,missing_shots,bet365_valid,average_closing_valid,invalid_odds,mean_home_goals,mean_away_goals,goal_covariance
2010-2011,E0,380,20,True,2010-08-14,2011-05-22,380,0,0,380,0,0,1.6236842105263158,1.1736842105263159,-0.07674515235457065
2010-2011,E1,552,24,True,2010-08-06,2011-05-07,552,0,0,552,0,0,1.5326086956521738,1.2028985507246377,-0.028355387523629504
2011-2012,E0,380,20,True,2011-08-13,2012-05-13,380,0,0,380,0,0,1.5894736842105264,1.2157894736842105,-0.18772853185595564
2011-2012,E1,552,24,True,2011-08-05,2012-04-28,552,0,0,552,0,0,1.4094202898550725,1.161231884057971,-0.060576822096198274
2012-2013,E0,380,20,True,2012-08-18,2013-05-19,380,0,0,380,0,0,1.5578947368421052,1.2394736842105263,0.04797783933518006
2012-2013,E1,552,24,True,2012-08-17,2013-05-04,552,0,0,551,0,1,1.5072463768115942,1.1992753623188406,0.04928061331653014
2013-2014,E0,380,20,True,2013-08-17,2014-05-11,380,0,0,380,0,0,1.5736842105263158,1.194736842105263,-0.16961218836565098
2013-2014,E1,552,24,True,2013-08-03,2014-05-03,552,0,0,552,0,0,1.4365942028985508,1.161231884057971,0.007505644822516284
2014-2015,E0,380,20,True,2014-08-16,2015-05-24,380,0,0,380,0,0,1.4736842105263157,1.0921052631578947,-0.04099722991689753
2014-2015,E1,552,24,True,2014-08-08,2015-05-02,552,0,0,552,0,0,1.4764492753623188,1.193840579710145,-0.00539868199957993
2015-2016,E0,380,20,True,2015-08-08,2016-05-17,380,0,0,380,0,0,1.4921052631578948,1.2078947368421054,-0.031253462603878096
2015-2016,E1,552,24,True,2015-08-07,2016-05-07,552,0,0,552,0,0,1.3532608695652173,1.068840579710145,-0.08410129174543164
2016-2017,E0,380,20,True,2016-08-13,2017-05-21,380,0,0,380,0,0,1.5973684210526315,1.2026315789473685,-0.21051939058171745
2016-2017,E1,552,24,True,2016-08-05,2017-05-07,552,0,0,552,0,0,1.4981884057971016,1.1123188405797102,-0.026970436883007765
2017-2018,E0,380,20,True,2017-08-11,2018-05-13,380,0,0,380,0,0,1.5315789473684212,1.1473684210526316,-0.20465373961218838
2017-2018,E1,552,24,True,2017-08-04,2018-05-06,552,0,0,552,0,0,1.411231884057971,1.141304347826087,-0.03274653434152488
2018-2019,E0,380,20,True,2018-08-10,2019-05-12,380,0,0,380,0,0,1.568421052631579,1.2526315789473683,-0.27518005540166207
2018-2019,E1,552,24,True,2018-08-03,2019-05-05,552,0,4,551,0,1,1.5144927536231885,1.1539855072463767,0.07657267380802352
2019-2020,E0,380,20,True,2019-08-09,2020-07-26,0,0,0,380,380,0,1.5157894736842106,1.2052631578947368,-0.3558725761772853
2019-2020,E1,552,24,True,2019-08-02,2020-07-22,0,0,0,552,552,0,1.411231884057971,1.2282608695652173,-0.04495510396975426
2020-2021,E0,380,20,True,2020-09-12,2021-05-23,0,0,0,380,380,0,1.3526315789473684,1.3421052631578947,-0.12063711911357342
2020-2021,E1,552,24,True,2020-09-11,2021-05-08,0,0,0,552,552,0,1.2518115942028984,1.056159420289855,-0.10290970909472802
2021-2022,E0,380,20,True,2021-08-13,2022-05-22,0,0,0,380,380,0,1.513157894736842,1.305263157894737,-0.3487534626038781
2021-2022,E1,552,24,True,2021-08-06,2022-05-07,0,0,0,552,552,0,1.414855072463768,1.0942028985507246,-0.13509504305818104
2022-2023,E0,380,20,True,2022-08-05,2023-05-28,0,0,0,380,380,0,1.6342105263157896,1.2184210526315788,-0.10431440443213297
2022-2023,E1,552,24,True,2022-07-29,2023-05-08,0,0,0,552,552,0,1.3242753623188406,1.1068840579710144,-0.01835551879857172
2023-2024,E0,380,20,True,2023-08-11,2024-05-19,0,0,0,380,380,0,1.8,1.4789473684210526,-0.37526315789473685
2023-2024,E1,552,24,True,2023-08-04,2024-05-04,0,0,0,552,552,0,1.4818840579710144,1.1992753623188406,-0.12138993908842677
2024-2025,E0,380,20,True,2024-08-16,2025-05-25,0,0,0,380,380,0,1.513157894736842,1.4210526315789473,-0.2160664819944598
2024-2025,E1,552,24,True,2024-08-09,2025-05-03,0,0,0,552,552,0,1.434782608695652,1.016304347826087,-0.01795841209829868
2025-2026,E0,380,20,True,2025-08-15,2026-05-24,0,0,0,380,380,0,1.5263157894736843,1.2236842105263157,-0.038781163434903065
2025-2026,E1,552,24,True,2025-08-08,2026-05-02,0,0,0,552,552,0,1.4003623188405796,1.2047101449275361,-0.12181330077714765
