team_id,mean_position,mean_points,mean_goal_difference,title_probability,top_four_probability,top_five_probability,relegation_probability,champions_league,europa_league,conference_league
liverpool,1.1851,86.122,50.518,0.8332,0.9993000000000002,0.9997000000000001,0.0,0.9993,0.0007,0.0
arsenal,2.0941,78.2091,42.2865,0.1545,0.986,0.9966,0.0,0.986,0.014,0.0
manchester-city,3.6739499999999996,69.8725,26.7381,0.0089,0.7889999999999999,0.9148,0.0,0.789,0.1774,0.0183
chelsea,4.815200000000001,65.7242,22.0771,0.002,0.488,0.71895,0.0,0.488,0.3643,0.0733
newcastle-united,4.97385,65.2174,21.8228,0.0013,0.4569,0.6913,0.0,0.4569,0.3767,0.0734
nottingham-forest,6.72175,60.8244,3.2462,0.0001,0.1485,0.31445,0.0,0.1485,0.3717,0.1586
aston-villa,8.67215,56.2225,-1.8455,0.0,0.0402,0.1012,0.0001,0.0402,0.171,0.1473
tottenham-hotspur,9.1297,54.5253,19.7156,0.0,0.028200000000000003,0.0784,0.0,0.0282,0.1376,0.1271
fulham,9.15385,54.9293,2.1385,0.0,0.0286,0.0722,0.0002,0.0286,0.1316,0.122
bournemouth,9.4859,54.1559,2.2406,0.0,0.017499999999999998,0.05449999999999999,0.0002,0.0175,0.1117,0.1093
brighton-hove-albion,9.9327,53.1941,0.6641,0.0,0.0125,0.0385,0.0007,0.0125,0.087,0.0883
brentford,11.29185,50.2035,-2.823,0.0,0.0044,0.0148,0.0044,0.0044,0.0386,0.0497
manchester-united,12.526699999999998,47.4761,-6.3825,0.0,0.0007,0.0038,0.0095,0.0007,0.013,0.0207
crystal-palace,13.8185,44.4361,-10.1329,0.0,0.0002,0.0005,0.0354,0.0002,0.0021,0.0069
west-ham-united,14.1482,44.0727,-21.3245,0.0,0.0,0.0003,0.046799999999999994,0.0,0.0024,0.0049
everton,16.249650000000003,37.8645,-18.5581,0.0,0.0,0.0,0.24850000000000003,0.0,0.0002,0.0002
wolverhampton-wanderers,16.54375,36.9744,-20.4499,0.0,0.0,0.0,0.3045,0.0,0.0,0.0
ipswich-town,17.71435,33.0944,-27.9094,0.0,0.0,0.0,0.6416,0.0,0.0,0.0
leicester-city,17.95415,32.3372,-34.1803,0.0,0.0,0.0,0.7108,0.0,0.0,0.0
southampton,19.9146,19.7092,-47.8414,0.0,0.0,0.0,0.9973,0.0,0.0,0.0
