model_id,outcome,bin_lower,bin_upper,count,mean_prediction,observed_frequency
M0-frequency-v1,H,0.0,0.1,0,,
M0-frequency-v1,H,0.1,0.2,0,,
M0-frequency-v1,H,0.2,0.3,0,,
M0-frequency-v1,H,0.3,0.4,0,,
M0-frequency-v1,H,0.4,0.5,3040,0.4477644502552857,0.4476973684210526
M0-frequency-v1,H,0.5,0.6,0,,
M0-frequency-v1,H,0.6,0.7,0,,
M0-frequency-v1,H,0.7,0.8,0,,
M0-frequency-v1,H,0.8,0.9,0,,
M0-frequency-v1,H,0.9,1.0,0,,
M0-frequency-v1,D,0.0,0.1,0,,
M0-frequency-v1,D,0.1,0.2,0,,
M0-frequency-v1,D,0.2,0.3,3040,0.23508331015851225,0.2338815789473684
M0-frequency-v1,D,0.3,0.4,0,,
M0-frequency-v1,D,0.4,0.5,0,,
M0-frequency-v1,D,0.5,0.6,0,,
M0-frequency-v1,D,0.6,0.7,0,,
M0-frequency-v1,D,0.7,0.8,0,,
M0-frequency-v1,D,0.8,0.9,0,,
M0-frequency-v1,D,0.9,1.0,0,,
M0-frequency-v1,A,0.0,0.1,0,,
M0-frequency-v1,A,0.1,0.2,0,,
M0-frequency-v1,A,0.2,0.3,781,0.2949229803379279,0.33034571062740076
M0-frequency-v1,A,0.3,0.4,2259,0.32483752133604804,0.314298362107127
M0-frequency-v1,A,0.4,0.5,0,,
M0-frequency-v1,A,0.5,0.6,0,,
M0-frequency-v1,A,0.6,0.7,0,,
M0-frequency-v1,A,0.7,0.8,0,,
M0-frequency-v1,A,0.8,0.9,0,,
M0-frequency-v1,A,0.9,1.0,0,,
M2-attack-defense-v1,H,0.0,0.1,35,0.08033072418262446,0.08571428571428572
M2-attack-defense-v1,H,0.1,0.2,228,0.1580560589916379,0.17105263157894737
M2-attack-defense-v1,H,0.2,0.3,464,0.25429993024023667,0.25862068965517243
M2-attack-defense-v1,H,0.3,0.4,580,0.34998122029755524,0.36551724137931035
M2-attack-defense-v1,H,0.4,0.5,651,0.44911980831236914,0.4270353302611367
M2-attack-defense-v1,H,0.5,0.6,463,0.5468781338775563,0.5421166306695464
M2-attack-defense-v1,H,0.6,0.7,323,0.6490799119800108,0.6749226006191951
M2-attack-defense-v1,H,0.7,0.8,216,0.7446685438611211,0.7870370370370371
M2-attack-defense-v1,H,0.8,0.9,75,0.8374530226150813,0.88
M2-attack-defense-v1,H,0.9,1.0,5,0.9166063066502224,0.8
M2-attack-defense-v1,D,0.0,0.1,28,0.08143729432638018,0.10714285714285714
M2-attack-defense-v1,D,0.1,0.2,527,0.16643596643020203,0.13851992409867173
M2-attack-defense-v1,D,0.2,0.3,2365,0.24935698980274318,0.2549682875264271
M2-attack-defense-v1,D,0.3,0.4,120,0.3144856883603021,0.26666666666666666
M2-attack-defense-v1,D,0.4,0.5,0,,
M2-attack-defense-v1,D,0.5,0.6,0,,
M2-attack-defense-v1,D,0.6,0.7,0,,
M2-attack-defense-v1,D,0.7,0.8,0,,
M2-attack-defense-v1,D,0.8,0.9,0,,
M2-attack-defense-v1,D,0.9,1.0,0,,
M2-attack-defense-v1,A,0.0,0.1,216,0.07233888887114119,0.09259259259259259
M2-attack-defense-v1,A,0.1,0.2,540,0.1514334491576243,0.11481481481481481
M2-attack-defense-v1,A,0.2,0.3,751,0.2517360895919756,0.25033288948069243
M2-attack-defense-v1,A,0.3,0.4,647,0.34711207897239454,0.33539412673879443
M2-attack-defense-v1,A,0.4,0.5,411,0.4486437255733738,0.4768856447688564
M2-attack-defense-v1,A,0.5,0.6,285,0.5425804100874612,0.5403508771929825
M2-attack-defense-v1,A,0.6,0.7,127,0.6449851131859193,0.6535433070866141
M2-attack-defense-v1,A,0.7,0.8,57,0.7413281853384006,0.7543859649122807
M2-attack-defense-v1,A,0.8,0.9,6,0.8336040581358198,0.8333333333333334
M2-attack-defense-v1,A,0.9,1.0,0,,
M3-elo-ordered-logit-v1,H,0.0,0.1,97,0.0761075637305392,0.12371134020618557
M3-elo-ordered-logit-v1,H,0.1,0.2,311,0.153666369012556,0.19292604501607716
M3-elo-ordered-logit-v1,H,0.2,0.3,393,0.251187479102458,0.2748091603053435
M3-elo-ordered-logit-v1,H,0.3,0.4,509,0.35149430119488717,0.381139489194499
M3-elo-ordered-logit-v1,H,0.4,0.5,552,0.44999917113170074,0.4329710144927536
M3-elo-ordered-logit-v1,H,0.5,0.6,412,0.5461303564395689,0.5145631067961165
M3-elo-ordered-logit-v1,H,0.6,0.7,311,0.6472460969813572,0.6270096463022508
M3-elo-ordered-logit-v1,H,0.7,0.8,256,0.7477953718448267,0.71875
M3-elo-ordered-logit-v1,H,0.8,0.9,172,0.8436195421518291,0.7790697674418605
M3-elo-ordered-logit-v1,H,0.9,1.0,27,0.9233749874565819,0.8518518518518519
M3-elo-ordered-logit-v1,D,0.0,0.1,122,0.0761149954906732,0.10655737704918032
M3-elo-ordered-logit-v1,D,0.1,0.2,743,0.1578761049116825,0.1857335127860027
M3-elo-ordered-logit-v1,D,0.2,0.3,2175,0.24957637312269615,0.2574712643678161
M3-elo-ordered-logit-v1,D,0.3,0.4,0,,
M3-elo-ordered-logit-v1,D,0.4,0.5,0,,
M3-elo-ordered-logit-v1,D,0.5,0.6,0,,
M3-elo-ordered-logit-v1,D,0.6,0.7,0,,
M3-elo-ordered-logit-v1,D,0.7,0.8,0,,
M3-elo-ordered-logit-v1,D,0.8,0.9,0,,
M3-elo-ordered-logit-v1,D,0.9,1.0,0,,
M3-elo-ordered-logit-v1,A,0.0,0.1,322,0.06601885256294068,0.10869565217391304
M3-elo-ordered-logit-v1,A,0.1,0.2,546,0.15060363629345624,0.1282051282051282
M3-elo-ordered-logit-v1,A,0.2,0.3,663,0.24971790612692307,0.26998491704374056
M3-elo-ordered-logit-v1,A,0.3,0.4,554,0.346683884028207,0.29422382671480146
M3-elo-ordered-logit-v1,A,0.4,0.5,357,0.4486459801017564,0.4565826330532213
M3-elo-ordered-logit-v1,A,0.5,0.6,257,0.5480988955935873,0.5136186770428015
M3-elo-ordered-logit-v1,A,0.6,0.7,189,0.6451110701946131,0.6349206349206349
M3-elo-ordered-logit-v1,A,0.7,0.8,111,0.7494004012682676,0.6936936936936937
M3-elo-ordered-logit-v1,A,0.8,0.9,40,0.8365817764692898,0.725
M3-elo-ordered-logit-v1,A,0.9,1.0,1,0.9011350504607931,0.0
market:bet365_preclosing,H,0.0,0.1,86,0.08147639023356497,0.06976744186046512
market:bet365_preclosing,H,0.1,0.2,330,0.15442026538423967,0.17575757575757575
market:bet365_preclosing,H,0.2,0.3,379,0.2519585078438943,0.29023746701846964
market:bet365_preclosing,H,0.3,0.4,570,0.3550126754349956,0.34385964912280703
market:bet365_preclosing,H,0.4,0.5,595,0.44990693332740495,0.42857142857142855
