competition_id,season_id,finished_matches,matches_with_statistics,match_coverage,team_matches,expected_goals_share,goals_prevented_share,shots_total_share,shots_on_goal_share,shots_inside_box_share,shots_outside_box_share,shots_blocked_share,corners_share,possession_share,goalkeeper_saves_share,passes_total_share,passes_accurate_share,fouls_share,offsides_share,yellow_cards_share,red_cards_share
eng-championship,2016-2017,552,379,0.6865942028985508,758,0.0,0.0,1.0,1.0,1.0,1.0,0.9973614775725593,1.0,1.0,0.9947229551451188,1.0,1.0,1.0,0.9709762532981531,0.9630606860158312,1.0
eng-championship,2017-2018,552,552,1.0,1104,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9945652173913043,1.0,1.0,1.0,0.9547101449275363,0.9492753623188406,1.0
eng-championship,2018-2019,552,551,0.9981884057971014,1102,0.0,0.0,1.0,1.0,1.0,1.0,0.9981851179673321,1.0,1.0,0.9945553539019963,1.0,1.0,1.0,0.9509981851179673,0.9509981851179673,0.778584392014519
eng-championship,2019-2020,552,552,1.0,1104,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9909420289855072,1.0,1.0,1.0,0.9583333333333334,0.947463768115942,0.1068840579710145
eng-championship,2020-2021,552,552,1.0,1104,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9909420289855072,1.0,1.0,1.0,0.9637681159420289,0.9420289855072463,0.1213768115942029
eng-championship,2021-2022,552,552,1.0,1104,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9981884057971014,1.0,1.0,1.0,0.9601449275362319,0.9583333333333334,0.11413043478260869
eng-championship,2022-2023,552,552,1.0,1104,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9891304347826086,1.0,1.0,1.0,0.9547101449275363,0.980072463768116,0.10869565217391304
eng-championship,2023-2024,552,550,0.9963768115942029,1100,1.0,0.0,1.0,1.0,1.0,0.9981818181818182,1.0,0.9981818181818182,1.0,1.0,1.0,1.0,1.0,0.9763636363636363,0.9709090909090909,0.1
eng-championship,2024-2025,552,552,1.0,1104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9963768115942029,1.0,1.0,1.0,0.9782608695652174,0.967391304347826,0.10507246376811594
eng-championship,2025-2026,552,552,1.0,1104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9909420289855072,1.0,1.0,1.0,0.9565217391304348,0.9583333333333334,0.09239130434782608
eng-championship,2026-2027,69,69,1.0,138,0.9710144927536232,0.9710144927536232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9855072463768116,0.14492753623188406
eng-premier-league,2016-2017,380,380,1.0,760,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9947368421052631,1.0,1.0,1.0,0.9526315789473684,0.9578947368421052,0.10526315789473684
eng-premier-league,2017-2018,380,380,1.0,760,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9973684210526316,1.0,1.0,1.0,0.9657894736842105,0.9184210526315789,0.09210526315789473
eng-premier-league,2018-2019,380,380,1.0,760,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9947368421052631,1.0,1.0,1.0,0.968421052631579,0.9342105263157895,0.13421052631578947
eng-premier-league,2019-2020,380,380,1.0,760,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9947368421052631,1.0,1.0,1.0,0.9605263157894737,0.9578947368421052,0.11052631578947368
eng-premier-league,2020-2021,380,380,1.0,760,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9552631578947368,0.9263157894736842,0.11315789473684211
eng-premier-league,2021-2022,380,380,1.0,760,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9894736842105263,1.0,1.0,1.0,0.9342105263157895,0.9421052631578948,0.11052631578947368
eng-premier-league,2022-2023,380,380,1.0,760,0.5078947368421053,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9973684210526316,1.0,1.0,1.0,0.9631578947368421,0.9578947368421052,0.07105263157894737
eng-premier-league,2023-2024,380,380,1.0,760,1.0,0.02631578947368421,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9973684210526316,1.0,1.0,1.0,0.9631578947368421,0.9815789473684211,0.14210526315789473
eng-premier-league,2024-2025,380,380,1.0,760,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9973684210526316,1.0,1.0,1.0,0.9421052631578948,0.9552631578947368,0.12105263157894737
eng-premier-league,2025-2026,380,380,1.0,760,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9947368421052631,1.0,1.0,1.0,0.9447368421052632,0.9631578947368421,0.10526315789473684
eng-premier-league,2026-2027,30,30,1.0,60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.9666666666666667,0.03333333333333333
