team_id,team_name,points_pmf_max_difference,rank_pmf_max_difference,mean_points_difference,automatic_promotion_probability_marginal,automatic_promotion_probability_path,automatic_promotion_probability_change,playoff_qualification_probability_marginal,playoff_qualification_probability_path,playoff_qualification_probability_change,playoff_promotion_probability_marginal,playoff_promotion_probability_path,playoff_promotion_probability_change,promotion_probability_marginal,promotion_probability_path,promotion_probability_change,relegation_probability_marginal,relegation_probability_path,relegation_probability_change,title_probability_marginal,title_probability_path,title_probability_change
birmingham-city,Birmingham,0.0,0.0,0.0,0.03018,0.03018,0.0,0.22452,0.22452,0.0,0.02598,0.03004,0.004060000000000001,0.05616,0.060219999999999996,0.004059999999999994,0.06784,0.06784,0.0,0.01116,0.01116,0.0
blackburn-rovers,Blackburn,0.0,0.0,0.0,0.006019999999999999,0.006019999999999999,0.0,0.08543999999999999,0.08543999999999999,0.0,0.00778,0.00986,0.002080000000000001,0.0138,0.01588,0.0020799999999999985,0.1985,0.1985,0.0,0.00188,0.00188,0.0
bolton-wanderers,Bolton,0.0,0.0,0.0,0.00278,0.00278,0.0,0.032119999999999996,0.032119999999999996,0.0,0.00194,0.00468,0.0027400000000000002,0.00472,0.00746,0.0027399999999999994,0.51834,0.51834,0.0,0.00104,0.00104,0.0
bristol-city,Bristol City,0.0,0.0,0.0,0.08488,0.08488,0.0,0.35282,0.35282,0.0,0.04672,0.04896,0.002239999999999999,0.1316,0.13384,0.002239999999999992,0.025599999999999998,0.025599999999999998,0.0,0.03716,0.03716,0.0
burnley,Burnley,0.0,0.0,0.0,0.17258,0.17258,0.0,0.43432000000000004,0.43432000000000004,0.0,0.1133,0.10578,-0.007519999999999999,0.28588,0.27836,-0.007520000000000027,0.014580000000000001,0.014580000000000001,0.0,0.08362,0.08362,0.0
cardiff-city,Cardiff,0.0,0.0,0.0,0.0018800000000000002,0.0018800000000000002,0.0,0.03266,0.03266,0.0,0.00204,0.00342,0.0013799999999999997,0.00392,0.0053,0.0013800000000000002,0.42796,0.42796,0.0,0.0006,0.0006,0.0
charlton-athletic,Charlton,0.0,0.0,0.0,0.01378,0.01378,0.0,0.14282,0.14282,0.0,0.01114,0.01476,0.00362,0.02492,0.028540000000000003,0.0036200000000000017,0.11662,0.11662,0.0,0.00506,0.00506,0.0
derby-county,Derby,0.0,0.0,0.0,0.008879999999999999,0.008879999999999999,0.0,0.11094,0.11094,0.0,0.0114,0.01518,0.0037800000000000004,0.02028,0.024059999999999998,0.0037799999999999986,0.16286,0.16286,0.0,0.00262,0.00262,0.0
lincoln-city,Lincoln,0.0,0.0,0.0,0.03782,0.03782,0.0,0.13906000000000002,0.13906000000000002,0.0,0.01274,0.02522,0.01248,0.05056,0.06304,0.012479999999999998,0.2923,0.2923,0.0,0.01806,0.01806,0.0
middlesbrough,Middlesbrough,0.0,0.0,0.0,0.2914,0.2914,0.0,0.46201999999999993,0.46201999999999993,0.0,0.10342,0.0868,-0.016619999999999996,0.39482,0.3782,-0.016620000000000024,0.00282,0.00282,0.0,0.1603,0.1603,0.0
millwall,Millwall,0.0,0.0,0.0,0.15044000000000002,0.15044000000000002,0.0,0.43468,0.43468,0.0,0.0779,0.07322,-0.004680000000000004,0.22834000000000002,0.22366000000000003,-0.00467999999999999,0.010979999999999998,0.010979999999999998,0.0,0.0722,0.0722,0.0
norwich-city,Norwich,0.0,0.0,0.0,0.10289999999999999,0.10289999999999999,0.0,0.39036,0.39036,0.0,0.06292,0.06376,0.0008399999999999935,0.16582,0.16665999999999997,0.0008399999999999797,0.01828,0.01828,0.0,0.04534,0.04534,0.0
portsmouth,Portsmouth,0.0,0.0,0.0,0.008539999999999999,0.008539999999999999,0.0,0.09058,0.09058,0.0,0.00774,0.01008,0.00234,0.01628,0.018619999999999998,0.0023399999999999983,0.19894,0.19894,0.0,0.003,0.003,0.0
preston-north-end,Preston,0.0,0.0,0.0,0.00126,0.00126,0.0,0.0286,0.0286,0.0,0.00178,0.0035,0.0017200000000000002,0.00304,0.00476,0.0017200000000000002,0.40199999999999997,0.40199999999999997,0.0,0.00024,0.00024,0.0
queens-park-rangers,QPR,0.0,0.0,0.0,0.02346,0.02346,0.0,0.19541999999999998,0.19541999999999998,0.0,0.01802,0.02246,0.0044399999999999995,0.04148,0.04592,0.0044399999999999995,0.07634,0.07634,0.0,0.00862,0.00862,0.0
