season_id,team_id,treatment,dimension,prior_mean,prior_sd,prior_source,premier_league_value,realized_entry,realized_entry_variance,squared_error,log_score,first_ten_points
2016-2017,aston-villa,retained,attack,0.0,0.28284271247461906,league population,-0.5485501485014097,-0.2594835101624924,0.08881402056297061,0.06733169204624828,0.22888536461434228,10
2016-2017,aston-villa,retained,defense,-0.0007038575684818441,0.2831132200113901,league population,-0.3838585153281401,0.22458443090235655,0.08909015796138556,0.050754812922119696,0.18067575840807887,10
2016-2017,aston-villa,generic,attack,0.1007385407201465,0.1380754124657782,Premier League relegation bridge,-0.5485501485014097,-0.2594835101624924,0.08881402056297061,0.12975992594209446,0.40698036291106787,10
2016-2017,aston-villa,generic,defense,0.03579985262106809,0.13863895129035406,Premier League relegation bridge,-0.3838585153281401,0.22458443090235655,0.08909015796138556,0.03563961699684393,-0.02791154744174973,10
2016-2017,aston-villa,mapped,attack,0.0734901528264945,0.14578881336849642,Premier League relegation bridge,-0.5485501485014097,-0.2594835101624924,0.08881402056297061,0.11087146024430342,0.31925989456214443,10
2016-2017,aston-villa,mapped,defense,0.08868878133298624,0.14632643922281577,Premier League relegation bridge,-0.3838585153281401,0.22458443090235655,0.08909015796138556,0.018467627571881095,-0.09886144770363604,10
2016-2017,newcastle-united,retained,attack,0.0,0.28284271247461906,league population,-0.10480862849725138,0.5092302288840812,0.04653160452837863,0.2593154260093337,0.9100130987117336,19
2016-2017,newcastle-united,retained,defense,-0.0007038575684818441,0.2831132200113901,league population,-0.24625461098671458,0.26663811692096534,0.08875762136161412,0.07147173132391622,0.24131262739776768,19
2016-2017,newcastle-united,generic,attack,0.1007385407201465,0.1380754124657782,Premier League relegation bridge,-0.10480862849725138,0.5092302288840812,0.04653160452837863,0.16686545929902127,0.8287312097792493,19
2016-2017,newcastle-united,generic,defense,0.03579985262106809,0.13863895129035406,Premier League relegation bridge,-0.24625461098671458,0.26663811692096534,0.08875762136161412,0.05328630426498921,0.0527716528990142,19
2016-2017,newcastle-united,mapped,attack,0.11214086200792582,0.13429770929553872,Premier League relegation bridge,-0.10480862849725138,0.5092302288840812,0.04653160452837863,0.15767996528610592,0.7699641914583839,19
2016-2017,newcastle-united,mapped,defense,0.015467587064548562,0.13488114558478193,Premier League relegation bridge,-0.24625461098671458,0.26663811692096534,0.08875762136161412,0.06308663506835316,0.09617783637514316,19
2016-2017,norwich-city,retained,attack,0.20701337387656832,0.12461512064136568,previous league state,-0.21748654476842832,0.3963188473746284,0.05101082762030526,0.03583656229632473,-0.16675245695750995,20
2016-2017,norwich-city,retained,defense,0.019165154414889377,0.07768887284702511,previous league state,-0.2711892081376921,-0.1369976859681649,0.06728115752602164,0.024386832716503288,-0.22123323332215197,20
2016-2017,norwich-city,generic,attack,0.1007385407201465,0.1380754124657782,Premier League relegation bridge,-0.21748654476842832,0.3963188473746284,0.05101082762030526,0.08736771768195757,0.2132300142109963,20
