season_id,model_id,origin,as_of,match_id,appearance,log_loss,brier,score_nll
2016-2017,retained,preseason,2016-08-05,eng-championship:2016-2017:fulham:newcastle-united,1,0.9554795219462251,0.5784694930095546,2.45891464916172
2016-2017,retained,preseason,2016-08-05,eng-championship:2016-2017:blackburn-rovers:norwich-city,1,0.8871236626508997,0.5201784222301422,4.363047858577303
2016-2017,retained,preseason,2016-08-05,eng-championship:2016-2017:sheffield-wednesday:aston-villa,1,0.7293238016459965,0.402363940465045,2.1426012197185846
2016-2017,retained,preseason,2016-08-05,eng-championship:2016-2017:aston-villa:rotherham-united,2,0.6886638634299302,0.37182298492671173,3.0072898559421883
2016-2017,retained,preseason,2016-08-05,eng-championship:2016-2017:newcastle-united:huddersfield-town,2,1.2870189424371257,0.818466064172977,2.8775242226852216
2016-2017,retained,preseason,2016-08-05,eng-championship:2016-2017:norwich-city:sheffield-wednesday,2,1.3720385178208965,0.8672151829591126,2.4774828578757395
2016-2017,retained,preseason,2016-08-05,eng-championship:2016-2017:aston-villa:huddersfield-town,3,1.4494076882404767,0.9011908164472444,2.2940077775102456
2016-2017,retained,preseason,2016-08-05,eng-championship:2016-2017:norwich-city:bristol-city,3,0.47123497016225796,0.21279383695872797,2.1564468124078027
2016-2017,retained,preseason,2016-08-05,eng-championship:2016-2017:newcastle-united:reading,3,0.7452318111254667,0.41463040517435795,3.9334019409155587
2016-2017,retained,preseason,2016-08-05,eng-championship:2016-2017:bristol-city:newcastle-united,4,0.9958405830912569,0.605762688624098,2.3635132510989436
2016-2017,retained,preseason,2016-08-05,eng-championship:2016-2017:derby-county:aston-villa,4,1.4511002292037802,0.9185337333538909,2.4809460262053236
2016-2017,retained,preseason,2016-08-05,eng-championship:2016-2017:ipswich-town:norwich-city,4,1.3152530711965653,0.8054282317403364,2.082829841188052
2016-2017,retained,preseason,2016-08-05,eng-championship:2016-2017:birmingham-city:norwich-city,5,1.1830374301268012,0.7352273006770509,3.895761232203684
2016-2017,retained,preseason,2016-08-05,eng-championship:2016-2017:bristol-city:aston-villa,5,0.9580534942701271,0.5773061158786743,3.3705004986868357
2016-2017,retained,preseason,2016-08-05,eng-championship:2016-2017:newcastle-united:brighton-hove-albion,5,1.0651430545570328,0.6546928105928277,2.8482940020595713
2016-2017,retained,preseason,2016-08-05,eng-championship:2016-2017:derby-county:newcastle-united,6,1.4120393806321871,0.8994412504362361,3.2666873734194564
2016-2017,retained,preseason,2016-08-05,eng-championship:2016-2017:norwich-city:cardiff-city,6,0.611724291805955,0.3144139175557512,3.759750483064143
2016-2017,retained,preseason,2016-08-05,eng-championship:2016-2017:aston-villa:nottingham-forest,6,1.3698961026834524,0.8444637708466138,3.2210381909011985
2016-2017,retained,preseason,2016-08-05,eng-championship:2016-2017:norwich-city:wigan-athletic,7,0.5061348573186133,0.23785889363573362,2.396184668278876
2016-2017,retained,preseason,2016-08-05,eng-championship:2016-2017:queens-park-rangers:newcastle-united,7,1.2043787680958566,0.7541751747016162,7.1518545438722
2016-2017,retained,preseason,2016-08-05,eng-championship:2016-2017:aston-villa:brentford,7,1.4348166857219657,0.8712831354197571,2.270811449136244
2016-2017,retained,preseason,2016-08-05,eng-championship:2016-2017:ipswich-town:aston-villa,8,1.3730777678605206,0.8476918125617671,2.3514279736071675
2016-2017,retained,preseason,2016-08-05,eng-championship:2016-2017:newcastle-united:wolverhampton-wanderers,8,1.151851993627986,0.7182324800926361,2.9505744009885833
2016-2017,retained,preseason,2016-08-05,eng-championship:2016-2017:nottingham-forest:norwich-city,8,0.8326358730265839,0.4796153134400542,2.482766320612867
2016-2017,retained,preseason,2016-08-05,eng-championship:2016-2017:aston-villa:newcastle-united,9,1.4315909610618718,0.874972457354267,2.340694441024599
2016-2017,retained,preseason,2016-08-05,eng-championship:2016-2017:norwich-city:burton-albion,9,0.5951933603452265,0.30179304398108603,3.0272328140881033
