model_id,season_id,matches,log_loss,brier,classwise_ece,score_matches,score_nll
M2-attack-defense-v1,2023-2024,380,0.9293582222045591,0.547156497904164,0.0270370166154293,380,3.0857183931450884
M2-attack-defense-v1,2024-2025,380,0.9853308720339864,0.588490851437947,0.02967764341305098,380,2.9682847307178846
M2-attack-defense-v1,2025-2026,380,1.0264932306876464,0.6156864232483529,0.04504824480597377,380,2.8935311061795788
M5-quality-tilt-poisson,2023-2024,380,0.928751755390487,0.546265069113772,0.031005518571005256,380,3.0655443596712537
M5-quality-tilt-poisson,2024-2025,380,0.9850839379546794,0.5876509032369153,0.04679723466797185,380,2.9655675291762438
M5-quality-tilt-poisson,2025-2026,380,1.0336636616113934,0.621551050785249,0.039657943366470674,380,2.8923185148235575
M7-xg-v1,2023-2024,380,0.9338571847556311,0.5491438716475465,0.038408975998451896,380,3.0549127969187855
M7-xg-v1,2024-2025,380,0.9718384796119302,0.5776885080982441,0.0605226941040688,380,2.966118099056953
M7-xg-v1,2025-2026,380,1.0291188970319591,0.617753649019948,0.03787566214361238,380,2.8954712472771353
market:market_average_preclosing,2023-2024,380,0.9092502625018826,0.5331180210631138,0.0337810628700146,0,
market:market_average_preclosing,2024-2025,380,0.9705521250110707,0.5788986039373658,0.04160588916635608,0,
market:market_average_preclosing,2025-2026,380,1.0152523829672504,0.6100247363528881,0.04001106089271399,0,
market:market_average_closing,2023-2024,380,0.9007013128279796,0.5267458308911198,0.03338474736686775,0,
market:market_average_closing,2024-2025,380,0.9667334134817074,0.5751877511794848,0.039349864869337454,0,
market:market_average_closing,2025-2026,380,1.0117668726695337,0.6077370146246498,0.036140045233574565,0,
