model_id,outcome,bin_lower,bin_upper,count,mean_prediction,observed_frequency
M2-attack-defense-v1,H,0.0,0.1,10,0.07513376716529355,0.1
M2-attack-defense-v1,H,0.1,0.2,84,0.15934473876136962,0.11904761904761904
M2-attack-defense-v1,H,0.2,0.3,165,0.2525880584336053,0.22424242424242424
M2-attack-defense-v1,H,0.3,0.4,245,0.3540907673478352,0.363265306122449
M2-attack-defense-v1,H,0.4,0.5,245,0.4499583993588629,0.42448979591836733
M2-attack-defense-v1,H,0.5,0.6,163,0.5439464447103196,0.5398773006134969
M2-attack-defense-v1,H,0.6,0.7,145,0.6443194523486429,0.6620689655172414
M2-attack-defense-v1,H,0.7,0.8,60,0.7484824794252644,0.7666666666666667
M2-attack-defense-v1,H,0.8,0.9,21,0.8374337409226364,0.9047619047619048
M2-attack-defense-v1,H,0.9,1.0,2,0.9245985548594602,1.0
M2-attack-defense-v1,D,0.0,0.1,7,0.07605074268584788,0.0
M2-attack-defense-v1,D,0.1,0.2,212,0.16972251780527092,0.18396226415094338
M2-attack-defense-v1,D,0.2,0.3,913,0.24088160583739612,0.2606790799561884
M2-attack-defense-v1,D,0.3,0.4,8,0.3054501991620287,0.25
M2-attack-defense-v1,D,0.4,0.5,0,,
M2-attack-defense-v1,D,0.5,0.6,0,,
M2-attack-defense-v1,D,0.6,0.7,0,,
M2-attack-defense-v1,D,0.7,0.8,0,,
M2-attack-defense-v1,D,0.8,0.9,0,,
M2-attack-defense-v1,D,0.9,1.0,0,,
M2-attack-defense-v1,A,0.0,0.1,60,0.07320195994026789,0.05
M2-attack-defense-v1,A,0.1,0.2,188,0.1559651371940358,0.13297872340425532
M2-attack-defense-v1,A,0.2,0.3,268,0.252436877434509,0.2462686567164179
M2-attack-defense-v1,A,0.3,0.4,267,0.34796673388108723,0.3295880149812734
M2-attack-defense-v1,A,0.4,0.5,172,0.44543898819682415,0.4069767441860465
M2-attack-defense-v1,A,0.5,0.6,110,0.550079370773841,0.5636363636363636
M2-attack-defense-v1,A,0.6,0.7,50,0.6369249087064509,0.66
M2-attack-defense-v1,A,0.7,0.8,21,0.7299910245955858,0.9047619047619048
M2-attack-defense-v1,A,0.8,0.9,4,0.8261720960009505,0.75
M2-attack-defense-v1,A,0.9,1.0,0,,
M5-quality-tilt-poisson,H,0.0,0.1,6,0.09425846728671529,0.0
M5-quality-tilt-poisson,H,0.1,0.2,58,0.16191779418187627,0.1206896551724138
M5-quality-tilt-poisson,H,0.2,0.3,173,0.25134462105673816,0.1907514450867052
M5-quality-tilt-poisson,H,0.3,0.4,235,0.352939699542615,0.34893617021276596
M5-quality-tilt-poisson,H,0.4,0.5,254,0.44734121390461884,0.43700787401574803
M5-quality-tilt-poisson,H,0.5,0.6,191,0.5465433650179246,0.5549738219895288
M5-quality-tilt-poisson,H,0.6,0.7,144,0.6387073366728825,0.6041666666666666
M5-quality-tilt-poisson,H,0.7,0.8,59,0.7388417994409914,0.7796610169491526
M5-quality-tilt-poisson,H,0.8,0.9,20,0.8360409024752956,1.0
M5-quality-tilt-poisson,H,0.9,1.0,0,,
M5-quality-tilt-poisson,D,0.0,0.1,5,0.08470155526872994,0.0
M5-quality-tilt-poisson,D,0.1,0.2,203,0.17111244684290547,0.1921182266009852
M5-quality-tilt-poisson,D,0.2,0.3,932,0.23359752347768303,0.2575107296137339
M5-quality-tilt-poisson,D,0.3,0.4,0,,
M5-quality-tilt-poisson,D,0.4,0.5,0,,
M5-quality-tilt-poisson,D,0.5,0.6,0,,
M5-quality-tilt-poisson,D,0.6,0.7,0,,
M5-quality-tilt-poisson,D,0.7,0.8,0,,
M5-quality-tilt-poisson,D,0.8,0.9,0,,
M5-quality-tilt-poisson,D,0.9,1.0,0,,
M5-quality-tilt-poisson,A,0.0,0.1,39,0.07257140496730004,0.02564102564102564
