season_id,model_id,origin,club_seasons,seasons,points_bias,points_rmse,promoted_club_seasons,promoted_points_bias,promoted_overpredicted,trps,points_crps,points_sd,coverage_50,width_50,coverage_80,width_80,coverage_90,width_90,coverage_95,width_95,title_brier,top_four_brier,relegation_brier
2015-2016,M2,MW12,20,1,0.5817550000000011,9.143185213562067,3,-2.2985666666666673,2,0.08081803247368419,5.359289450499999,6.204332701218387,0.35,8.4,0.65,15.95,0.7,20.25,0.75,24.1,0.07204424275,0.09951430674999999,0.11500604049999999
2015-2016,M2,MW19,20,1,0.31533000000000017,7.3997505306598015,3,5.042966666666669,2,0.07303932176315789,4.393636614999998,5.3839195249650285,0.4,7.45,0.6,13.8,0.8,17.6,0.85,21.05,0.061307983249999996,0.020899528000000007,0.07701313774999999
2015-2016,M2,MW30,20,1,0.30170500000000083,3.312221039649982,3,2.5504000000000033,3,0.02898686546052632,1.9379348634999995,3.418789558248391,0.45,4.7,0.9,8.8,1.0,11.25,1.0,13.05,0.005815208750000001,0.014501373250000001,0.029505170999999997
2015-2016,M2,MW6,20,1,0.4917349999999985,11.128926103874534,3,4.204233333333332,3,0.10978107444736844,6.497454874499999,6.9167123970961315,0.4,9.4,0.65,17.75,0.75,22.7,0.8,27.1,0.08691574099999999,0.14764304625000002,0.064945537
2015-2016,M2,preseason,20,1,0.7338350000000006,11.983436135036564,3,3.117266666666668,3,0.1100154475263158,6.4269606305,7.5600114926647795,0.6,10.2,0.7,19.35,0.75,24.95,0.8,29.55,0.067817321,0.15721995099999997,0.04160550925000001
2015-2016,M4,MW12,20,1,0.6336149999999996,8.645460908332188,3,-1.842366666666667,2,0.07489369581578946,4.915331976499998,7.866466897486644,0.6,10.7,0.7,20.1,0.85,26.0,0.95,30.55,0.06700122825,0.08068149949999999,0.10083932800000002
2015-2016,M4,MW19,20,1,0.3121799999999997,7.252749847264828,3,4.7970333333333315,2,0.07080869388157895,4.190207128999999,6.350277981267946,0.35,8.7,0.7,16.3,0.9,20.95,0.95,24.75,0.05147457725,0.016784732500000003,0.07869843725
2015-2016,M4,MW30,20,1,0.3103200000000005,3.3118178896189314,3,2.5574999999999997,3,0.03046128327631579,1.9358064769999994,3.6819191862414717,0.4,5.1,0.9,9.6,1.0,12.05,1.0,14.25,0.006841132000000004,0.020209291750000004,0.029612418249999994
2015-2016,M4,MW6,20,1,0.5257699999999982,10.89485073202015,3,2.8858333333333306,2,0.10529987110526318,6.221035466000001,9.28125301981028,0.5,12.75,0.75,24.0,0.85,30.5,0.9,36.25,0.07682293025,0.12178300574999998,0.075371414
2015-2016,M4,preseason,20,1,0.8672300000000011,11.744791932554618,3,0.3083333333333324,1,0.10957175776315786,6.399811294999999,10.83045533649485,0.65,14.75,0.8,27.75,0.85,35.6,0.85,42.3,0.062571242,0.13142482,0.07415745200000003
