model_id,origin,event,bin_lower,bin_upper,count,mean_prediction,observed_frequency
M2,MW12,pit,0.0,0.1,40,0.03807607303637344,0.18181818181818182
M2,MW12,pit,0.1,0.2,19,0.14914621431065947,0.08636363636363636
M2,MW12,pit,0.2,0.3,9,0.22778177134840372,0.04090909090909091
M2,MW12,pit,0.3,0.4,20,0.3447713251181211,0.09090909090909091
M2,MW12,pit,0.4,0.5,18,0.44196313865631315,0.08181818181818182
M2,MW12,pit,0.5,0.6,23,0.5479427584713342,0.10454545454545454
M2,MW12,pit,0.6,0.7,22,0.6558891460416104,0.1
M2,MW12,pit,0.7,0.8,18,0.7523041241517578,0.08181818181818182
M2,MW12,pit,0.8,0.9,13,0.8480478515739424,0.05909090909090909
M2,MW12,pit,0.9,1.0,38,0.9583375582593945,0.17272727272727273
M2,MW12,title,0.0,0.1,196,0.0031091836734693876,0.00510204081632653
M2,MW12,title,0.1,0.2,8,0.15849375,0.0
M2,MW12,title,0.2,0.3,3,0.23351666666666668,0.3333333333333333
M2,MW12,title,0.3,0.4,3,0.35495000000000004,0.3333333333333333
M2,MW12,title,0.4,0.5,0,,
M2,MW12,title,0.5,0.6,3,0.5656500000000001,0.3333333333333333
M2,MW12,title,0.6,0.7,1,0.6338,1.0
M2,MW12,title,0.7,0.8,2,0.7759750000000001,1.0
M2,MW12,title,0.8,0.9,3,0.8414833333333332,1.0
M2,MW12,title,0.9,1.0,1,0.9501,1.0
M2,MW12,top_four,0.0,0.1,148,0.009418243243243243,0.02027027027027027
M2,MW12,top_four,0.1,0.2,14,0.14409642857142857,0.14285714285714285
M2,MW12,top_four,0.2,0.3,8,0.26493124999999995,0.375
M2,MW12,top_four,0.3,0.4,6,0.33360833333333334,0.6666666666666666
M2,MW12,top_four,0.4,0.5,4,0.438725,0.25
M2,MW12,top_four,0.5,0.6,2,0.529325,0.5
M2,MW12,top_four,0.6,0.7,3,0.6423,0.0
M2,MW12,top_four,0.7,0.8,7,0.7523571428571428,0.5714285714285714
M2,MW12,top_four,0.8,0.9,7,0.8445,0.7142857142857143
M2,MW12,top_four,0.9,1.0,21,0.9785333333333335,1.0
M2,MW12,relegation,0.0,0.1,157,0.01284968152866242,0.012738853503184714
M2,MW12,relegation,0.1,0.2,13,0.15085384615384612,0.15384615384615385
M2,MW12,relegation,0.2,0.3,7,0.23292857142857143,0.2857142857142857
M2,MW12,relegation,0.3,0.4,9,0.3426888888888888,0.6666666666666666
M2,MW12,relegation,0.4,0.5,6,0.42868333333333336,0.16666666666666666
M2,MW12,relegation,0.5,0.6,3,0.5656,1.0
M2,MW12,relegation,0.6,0.7,6,0.6600416666666667,0.6666666666666666
M2,MW12,relegation,0.7,0.8,7,0.7539071428571429,0.5714285714285714
M2,MW12,relegation,0.8,0.9,5,0.8292299999999999,0.4
M2,MW12,relegation,0.9,1.0,7,0.9505928571428571,1.0
M2,MW19,pit,0.0,0.1,32,0.04811876243909856,0.14545454545454545
M2,MW19,pit,0.1,0.2,21,0.14713221239103863,0.09545454545454546
M2,MW19,pit,0.2,0.3,14,0.2413413232125918,0.06363636363636363
M2,MW19,pit,0.3,0.4,21,0.34747379902940123,0.09545454545454546
M2,MW19,pit,0.4,0.5,26,0.4506486473401545,0.11818181818181818
M2,MW19,pit,0.5,0.6,14,0.5459650246372132,0.06363636363636363
M2,MW19,pit,0.6,0.7,20,0.6384255765562015,0.09090909090909091
M2,MW19,pit,0.7,0.8,26,0.7529365452599334,0.11818181818181818
M2,MW19,pit,0.8,0.9,16,0.8540387181217864,0.07272727272727272
M2,MW19,pit,0.9,1.0,30,0.9580779770501666,0.13636363636363635
M2,MW19,title,0.0,0.1,201,0.003441293532338308,0.004975124378109453
M2,MW19,title,0.1,0.2,3,0.12878333333333333,0.0
M2,MW19,title,0.2,0.3,1,0.2209,1.0
M2,MW19,title,0.3,0.4,2,0.33215,0.0
M2,MW19,title,0.4,0.5,3,0.42485,0.0
M2,MW19,title,0.5,0.6,2,0.5453749999999999,1.0
M2,MW19,title,0.6,0.7,3,0.67505,0.6666666666666666
M2,MW19,title,0.7,0.8,0,,
M2,MW19,title,0.8,0.9,2,0.8553,1.0
M2,MW19,title,0.9,1.0,3,0.9785666666666667,1.0
M2,MW19,top_four,0.0,0.1,157,0.01000828025477707,0.012738853503184714
M2,MW19,top_four,0.1,0.2,5,0.16214,0.0
M2,MW19,top_four,0.2,0.3,6,0.2710333333333333,0.3333333333333333
M2,MW19,top_four,0.3,0.4,6,0.333775,0.3333333333333333
M2,MW19,top_four,0.4,0.5,3,0.43768333333333337,0.6666666666666666
M2,MW19,top_four,0.5,0.6,5,0.57241,0.4
M2,MW19,top_four,0.6,0.7,4,0.6562749999999999,0.75
M2,MW19,top_four,0.7,0.8,7,0.7440785714285715,0.7142857142857143
M2,MW19,top_four,0.8,0.9,4,0.8478,1.0
M2,MW19,top_four,0.9,1.0,23,0.9821391304347828,0.9565217391304348
M2,MW19,relegation,0.0,0.1,159,0.009229245283018868,0.006289308176100629
M2,MW19,relegation,0.1,0.2,11,0.14172272727272725,0.18181818181818182
M2,MW19,relegation,0.2,0.3,13,0.23967307692307693,0.23076923076923078
M2,MW19,relegation,0.3,0.4,3,0.33933333333333343,0.0
M2,MW19,relegation,0.4,0.5,3,0.46126666666666666,0.6666666666666666
M2,MW19,relegation,0.5,0.6,5,0.53204,0.8
M2,MW19,relegation,0.6,0.7,5,0.64512,0.8
M2,MW19,relegation,0.7,0.8,6,0.7626333333333334,0.6666666666666666
M2,MW19,relegation,0.8,0.9,5,0.86982,0.6
M2,MW19,relegation,0.9,1.0,10,0.964535,1.0
M2,MW30,pit,0.0,0.1,37,0.055332011047532895,0.16818181818181818
M2,MW30,pit,0.1,0.2,18,0.15197759993512766,0.08181818181818182
M2,MW30,pit,0.2,0.3,16,0.2428068047220344,0.07272727272727272
M2,MW30,pit,0.3,0.4,20,0.35896164055190605,0.09090909090909091
M2,MW30,pit,0.4,0.5,19,0.4557048605491929,0.08636363636363636
M2,MW30,pit,0.5,0.6,20,0.55218358631048,0.09090909090909091
M2,MW30,pit,0.6,0.7,19,0.6425543511018033,0.08636363636363636
M2,MW30,pit,0.7,0.8,14,0.7488279107354899,0.06363636363636363
M2,MW30,pit,0.8,0.9,28,0.8594738302297513,0.12727272727272726
M2,MW30,pit,0.9,1.0,29,0.9545560617443216,0.1318181818181818
M2,MW30,title,0.0,0.1,202,0.0007250000000000002,0.0
M2,MW30,title,0.1,0.2,2,0.1508,0.0
M2,MW30,title,0.2,0.3,3,0.27775,0.3333333333333333
M2,MW30,title,0.3,0.4,1,0.3191,0.0
M2,MW30,title,0.4,0.5,2,0.436475,0.0
M2,MW30,title,0.5,0.6,1,0.5871,1.0
M2,MW30,title,0.6,0.7,1,0.6809,1.0
M2,MW30,title,0.7,0.8,2,0.716325,1.0
M2,MW30,title,0.8,0.9,1,0.8834,1.0
M2,MW30,title,0.9,1.0,5,0.9885200000000001,1.0
M2,MW30,top_four,0.0,0.1,155,0.002656774193548387,0.0
M2,MW30,top_four,0.1,0.2,6,0.1392,0.0
M2,MW30,top_four,0.2,0.3,6,0.24543333333333336,0.3333333333333333
M2,MW30,top_four,0.3,0.4,6,0.3401166666666667,0.3333333333333333
M2,MW30,top_four,0.4,0.5,6,0.46504166666666663,0.6666666666666666
M2,MW30,top_four,0.5,0.6,5,0.56859,0.4
M2,MW30,top_four,0.6,0.7,2,0.6927,1.0
M2,MW30,top_four,0.7,0.8,3,0.7411333333333333,1.0
M2,MW30,top_four,0.8,0.9,4,0.8234,0.75
M2,MW30,top_four,0.9,1.0,27,0.9890407407407408,0.9629629629629629
M2,MW30,relegation,0.0,0.1,170,0.003963823529411764,0.0
M2,MW30,relegation,0.1,0.2,4,0.1532625,0.25
M2,MW30,relegation,0.2,0.3,9,0.24644444444444444,0.2222222222222222
M2,MW30,relegation,0.3,0.4,3,0.3791166666666667,0.6666666666666666
M2,MW30,relegation,0.4,0.5,2,0.48515,0.5
M2,MW30,relegation,0.5,0.6,5,0.55669,0.4
M2,MW30,relegation,0.6,0.7,2,0.6713,1.0
M2,MW30,relegation,0.7,0.8,5,0.75306,0.6
