model_id,origin,metric,difference_vs_M2,season_cluster_ci_low,season_cluster_ci_high,club_seasons,seasons
M4,preseason,trps,-0.003289425344497608,-0.01093069133896531,0.004026734145633973,220,11
M4,preseason,points_crps,-0.28262456313636325,-0.7365035802249983,0.14655422751250013,220,11
M4,preseason,title_brier,0.00018100377272727128,-0.004728286305113639,0.0043979325249999986,220,11
M4,preseason,top_four_brier,-0.0022533754318181816,-0.009021443198863634,0.0037659528528409063,220,11
M4,preseason,relegation_brier,-0.004847722545454549,-0.026938329010227267,0.016482041202840903,220,11
M5,preseason,trps,-0.003649615659489636,-0.010012917230861248,0.0027751776073365233,220,11
M5,preseason,points_crps,-0.2281058737727277,-0.6792402083874999,0.15328524744772712,220,11
M5,preseason,title_brier,-2.9100795454545216e-05,-0.004877922096022727,0.004391736320454545,220,11
M5,preseason,top_four_brier,-0.004948279113636367,-0.011826240094886368,0.001264447072727268,220,11
M5,preseason,relegation_brier,-0.002523954931818187,-0.024729518133522723,0.01858833313011362,220,11
M7,preseason,trps,-0.00419225658971292,-0.015216090105472486,0.004973747604605261,220,11
M7,preseason,points_crps,-0.18027235904545458,-0.873823852619318,0.3864571376545446,220,11
M7,preseason,title_brier,-0.00155559359090909,-0.007458672337499998,0.003833763443181819,220,11
M7,preseason,top_four_brier,-0.0065540801818181815,-0.016096699149999998,0.004510591485795455,220,11
M7,preseason,relegation_brier,-0.001086558000000005,-0.023035019979545466,0.02037444976647726,220,11
M4,MW6,trps,-0.0022271658480861214,-0.00851555539572368,0.004098841791716509,220,11
M4,MW6,points_crps,-0.20774384649999983,-0.5288025922238632,0.09633316815568108,220,11
M4,MW6,title_brier,0.0005961151136363633,-0.003294004022727272,0.004260684819318182,220,11
M4,MW6,top_four_brier,-0.004195029818181815,-0.009538472826136363,0.000278508216477276,220,11
M4,MW6,relegation_brier,-0.005625746090909091,-0.018153799988636365,0.005812287308522726,220,11
M5,MW6,trps,-0.0030618554848484835,-0.007964493868560603,0.0022901911429924226,220,11
M5,MW6,points_crps,-0.19232744963636328,-0.5002902266431812,0.07723433634772706,220,11
M5,MW6,title_brier,0.00046393036363636346,-0.0040187848409090916,0.004426969528977271,220,11
M5,MW6,top_four_brier,-0.005962747295454544,-0.010871116941477271,-0.0013637060045454531,220,11
M5,MW6,relegation_brier,-0.005252759204545452,-0.01866980530625,0.00722092808352273,220,11
M7,MW6,trps,-0.004052861421052632,-0.01157687777479067,0.002779076158941385,220,11
M7,MW6,points_crps,-0.23872910863636398,-0.7236529880170455,0.17948349229090843,220,11
M7,MW6,title_brier,-6.634375000000113e-05,-0.006272949717045456,0.005976287348863637,220,11
M7,MW6,top_four_brier,-0.013757948386363638,-0.02539829585625,-0.0022817465857954554,220,11
M7,MW6,relegation_brier,-0.00576728393181818,-0.020965173363068183,0.008596298223863642,220,11
M4,MW12,trps,0.0007418305717703351,-0.0037309313602272745,0.005017995107655505,220,11
M4,MW12,points_crps,-0.06842137050000044,-0.3186349468522733,0.16073052472840932,220,11
M4,MW12,title_brier,0.0018050126818181826,-0.0007243653403409082,0.0047376469596590925,220,11
M4,MW12,top_four_brier,-0.004213231522727275,-0.01021274274147728,0.0014585784312499957,220,11
M4,MW12,relegation_brier,-0.003614947181818183,-0.010990336768750003,0.003322954552840909,220,11
M5,MW12,trps,0.0006100989282296667,-0.0030027456101973664,0.004345919634061005,220,11
M5,MW12,points_crps,0.00012098368181838585,-0.22698323384886382,0.1988305192102279,220,11
M5,MW12,title_brier,0.001836761272727272,-0.00019277157045454775,0.0038016890352272716,220,11
M5,MW12,top_four_brier,-0.0038709574772727265,-0.007865827706249997,-0.0002741355994318184,220,11
M5,MW12,relegation_brier,-0.003877476000000001,-0.011405136364204546,0.0030041684988636307,220,11
M7,MW12,trps,-0.001397498693779904,-0.007681752003050243,0.00422292828071172,220,11
M7,MW12,points_crps,-0.11208335445454559,-0.5093389890409097,0.23370310619204432,220,11
M7,MW12,title_brier,0.0011307702499999987,-0.002689170921022728,0.0046398131306818165,220,11
M7,MW12,top_four_brier,-0.010778999840909092,-0.01933989825568182,-0.002427126826704551,220,11
M7,MW12,relegation_brier,-0.00506977011363636,-0.015018471778977272,0.005205340524431817,220,11
M4,MW19,trps,0.0013436125143540666,-0.0009716023470992835,0.0036348086048145923,220,11
M4,MW19,points_crps,-0.0022085802272719325,-0.10984329152954488,0.11262367748409156,220,11
M4,MW19,title_brier,0.002124468204545453,-0.0013592462585227272,0.005967812840909089,220,11
M4,MW19,top_four_brier,-0.0019666503863636385,-0.006027583528409095,0.001502897361931817,220,11
M4,MW19,relegation_brier,0.00037119286363636507,-0.00376311965397727,0.004349739775000004,220,11
M5,MW19,trps,0.0006167456455342895,-0.0014956832226076598,0.0026015295538975272,220,11
M5,MW19,points_crps,0.00946542277272871,-0.09225523100113481,0.10926987902500221,220,11
M5,MW19,title_brier,0.001251734977272728,-0.00077263945625,0.0033696782903409094,220,11
M5,MW19,top_four_brier,-0.0013589554318181813,-0.004192485750000004,0.0009429284306818213,220,11
M5,MW19,relegation_brier,0.00046181572727273007,-0.00399362097897727,0.004789192669886366,220,11
M7,MW19,trps,-0.00040490896770334806,-0.0023099323215610063,0.0013896250107655523,220,11
M7,MW19,points_crps,-0.06529665186363548,-0.16761226093522566,0.03420549195909191,220,11
M7,MW19,title_brier,0.0021623535227272717,-0.0006378719056818186,0.005742299286931814,220,11
M7,MW19,top_four_brier,-0.006736443886363638,-0.012206838549431819,-0.0008722721267045466,220,11
M7,MW19,relegation_brier,0.0033047856818181846,-0.004109156198863635,0.011066892152272727,220,11
M4,MW30,trps,0.0013276989581339712,0.0005512806038875575,0.002122264372966509,220,11
M4,MW30,points_crps,0.027990773500000263,-0.009610415227272216,0.0689415696159094,220,11
M4,MW30,title_brier,0.0019471989772727259,0.0005835789659090907,0.0034933392357954503,220,11
