competition_id,model_id,origin,event,bin_lower,bin_upper,count,mean_prediction,observed_frequency
eng-championship,M2,MW12,points_pit,0.0,0.1,42,0.029632560530528672,0.1590909090909091
eng-championship,M2,MW12,points_pit,0.1,0.2,33,0.14803426744773682,0.125
eng-championship,M2,MW12,points_pit,0.2,0.3,22,0.2441624492340141,0.08333333333333333
eng-championship,M2,MW12,points_pit,0.3,0.4,22,0.3546637185681847,0.08333333333333333
eng-championship,M2,MW12,points_pit,0.4,0.5,24,0.4457623146537298,0.09090909090909091
eng-championship,M2,MW12,points_pit,0.5,0.6,12,0.5446292801139184,0.045454545454545456
eng-championship,M2,MW12,points_pit,0.6,0.7,14,0.662933695347079,0.05303030303030303
eng-championship,M2,MW12,points_pit,0.7,0.8,18,0.7513146960651713,0.06818181818181818
eng-championship,M2,MW12,points_pit,0.8,0.9,23,0.863716905218375,0.08712121212121213
eng-championship,M2,MW12,points_pit,0.9,1.0,54,0.9605867611445925,0.20454545454545456
eng-championship,M2,MW12,rank_pit,0.0,0.1,45,0.045226406599329284,0.17045454545454544
eng-championship,M2,MW12,rank_pit,0.1,0.2,29,0.15076994240502106,0.10984848484848485
eng-championship,M2,MW12,rank_pit,0.2,0.3,21,0.2449079178999585,0.07954545454545454
eng-championship,M2,MW12,rank_pit,0.3,0.4,15,0.35807467193768433,0.056818181818181816
eng-championship,M2,MW12,rank_pit,0.4,0.5,22,0.4388828842074018,0.08333333333333333
eng-championship,M2,MW12,rank_pit,0.5,0.6,24,0.5473916124420275,0.09090909090909091
eng-championship,M2,MW12,rank_pit,0.6,0.7,17,0.6532174163465517,0.06439393939393939
eng-championship,M2,MW12,rank_pit,0.7,0.8,29,0.7622724594134521,0.10984848484848485
eng-championship,M2,MW12,rank_pit,0.8,0.9,20,0.8525188601088404,0.07575757575757576
eng-championship,M2,MW12,rank_pit,0.9,1.0,42,0.9613952885685425,0.1590909090909091
eng-championship,M2,MW12,automatic_promotion,0.0,0.1,216,0.011769444444444445,0.004629629629629629
eng-championship,M2,MW12,automatic_promotion,0.1,0.2,14,0.1397928571428571,0.14285714285714285
eng-championship,M2,MW12,automatic_promotion,0.2,0.3,6,0.2666,0.6666666666666666
eng-championship,M2,MW12,automatic_promotion,0.3,0.4,9,0.3579555555555556,0.5555555555555556
eng-championship,M2,MW12,automatic_promotion,0.4,0.5,3,0.4531,0.0
eng-championship,M2,MW12,automatic_promotion,0.5,0.6,4,0.545725,0.25
eng-championship,M2,MW12,automatic_promotion,0.6,0.7,5,0.6596200000000001,1.0
