origin,metric,baseline_leader,revised_leader,leader_unchanged,baseline_gap,revised_gap
preseason,rank_rps,M7,M7,True,0.013795791123188433,0.012914985859683814
preseason,points_crps,M7,M7,True,0.569421021780304,0.559983142992424
preseason,automatic_promotion_brier,M7,M7,True,0.010620712196969695,0.010624308030303023
preseason,playoff_qualification_brier,M7,M7,True,0.005259343712121195,0.005292169621212123
preseason,promotion_brier,M7,M7,True,0.012258916969696984,0.012135899848484857
preseason,relegation_brier,M7,M7,True,0.009280968939393952,0.00771384659090911
preseason,title_brier,M7,M7,True,0.007116869450757582,0.007117569071969691
MW6,rank_rps,M7,M7,True,0.008106786445158082,0.007762844254776052
MW6,points_crps,M7,M7,True,0.3096941058712108,0.298799408901516
MW6,automatic_promotion_brier,M2,M2,True,0.0009408987121212117,0.0009334536363636362
MW6,playoff_qualification_brier,M7,M7,True,0.003677386231060592,0.0037384192613636458
MW6,promotion_brier,M7,M2,False,0.0002841480303030358,0.0002414134090909098
MW6,relegation_brier,M7,M7,True,0.006279118106060619,0.004758813636363629
MW6,title_brier,M7,M7,True,0.0030078265340909086,0.0030076753219697022
MW12,rank_rps,M7,M7,True,0.006255850433959154,0.006112768516963074
MW12,points_crps,M7,M7,True,0.2529334296969683,0.2435963084848476
MW12,automatic_promotion_brier,M7,M7,True,0.0007077351515151417,0.0007107972727272566
MW12,playoff_qualification_brier,M7,M7,True,0.002248844318181842,0.0022806181060606168
MW12,promotion_brier,M7,M7,True,0.0013964103030303099,0.0010195320454545465
MW12,relegation_brier,M7,M7,True,0.005552155246212123,0.005900664943181824
MW12,title_brier,M7,M7,True,0.0012420641666666676,0.0012421912121212166
MW19,rank_rps,M7,M7,True,0.002801755199275363,0.00269949154479579
MW19,points_crps,M7,M7,True,0.10889793768939438,0.10407445284090944
MW19,automatic_promotion_brier,M2,M2,True,7.85753787878804e-05,7.863560606060846e-05
MW19,playoff_qualification_brier,M7,M7,True,0.0031740287689394076,0.0032047923295454722
MW19,promotion_brier,M7,M7,True,0.0007959441666666733,0.0007344865151515181
MW19,relegation_brier,M7,M7,True,0.0023683375757575648,0.0014407468939394152
MW19,title_brier,M7,M7,True,0.0001687584848484823,0.0001687584848484823
MW30,rank_rps,M7,M7,True,0.00037358776844531594,0.0004056961882411142
MW30,points_crps,M7,M7,True,0.023325819962120686,0.02058869874999969
MW30,automatic_promotion_brier,M2,M2,True,0.0006011890151515174,0.0006011890151515174
MW30,playoff_qualification_brier,M7,M7,True,0.0006497602083333359,0.000648100359848483
MW30,promotion_brier,M2,M2,True,0.00041093719696970454,0.0008322937878787878
MW30,relegation_brier,M7,M7,True,0.0018635116666666715,0.0012315848484848527
MW30,title_brier,M7,M7,True,0.00028079068181818476,0.00028079068181818476
