model_id,origin,metric,difference_vs_M2,season_cluster_ci_low,season_cluster_ci_high,club_seasons,seasons
M7,preseason,rank_rps,-0.017203053397562576,-0.02578979965493248,-0.008611956814867417,264,11
M7,preseason,points_crps,-0.7437199498484851,-1.2177186689431807,-0.2403280522518943,264,11
M7,preseason,automatic_promotion_brier,-0.014028178106060605,-0.025694112784090912,-0.002325826990530302,264,11
M7,preseason,playoff_qualification_brier,-0.006851503617424245,-0.011909509042140156,-0.001502626883049244,264,11
M7,preseason,promotion_brier,-0.017535019090909095,-0.03417391279545454,-0.0013511542253787899,264,11
M7,preseason,relegation_brier,-0.008250355284090906,-0.01706532765388257,0.0011261979431818239,264,11
M7,preseason,title_brier,-0.009217361969696969,-0.013925281604166664,-0.005064336643939393,264,11
M7,MW6,rank_rps,-0.00962644237730566,-0.014183292997756083,-0.0054723886897233166,264,11
M7,MW6,points_crps,-0.3583232290530311,-0.5853680005227279,-0.12400551651609991,264,11
M7,MW6,automatic_promotion_brier,-0.00031203994318182,-0.008246844750946973,0.008322317727272724,264,11
M7,MW6,playoff_qualification_brier,-0.005251526837121211,-0.011409837961647724,0.0010093203110795458,264,11
M7,MW6,promotion_brier,-0.0028443127083333337,-0.010314018934185605,0.004788832909090898,264,11
M7,MW6,relegation_brier,-0.0037901345643939406,-0.013577445584753791,0.0054601157713068125,264,11
M7,MW6,title_brier,-0.004050675909090909,-0.007726190740530302,0.00035257655492424193,264,11
M7,MW12,rank_rps,-0.0074830669145256904,-0.011601700367259549,-0.0030311374510252087,264,11
M7,MW12,points_crps,-0.25538330037878887,-0.44094727007765266,-0.06735676355018996,264,11
M7,MW12,automatic_promotion_brier,-0.0017619657575757583,-0.008062613261363639,0.005451394316287874,264,11
M7,MW12,playoff_qualification_brier,-0.0035318894128787857,-0.008598693214015149,0.0011047059128787905,264,11
M7,MW12,promotion_brier,-0.003609502272727273,-0.010606899231060606,0.003952039077651516,264,11
M7,MW12,relegation_brier,-0.005161259015151518,-0.013577544808712124,0.0028748956553030247,264,11
M7,MW12,title_brier,-0.001459943409090909,-0.006267216782196968,0.003928816212121212,264,11
M7,MW19,rank_rps,-0.0029366044524044813,-0.006083696668251816,0.00021588574919713356,264,11
M7,MW19,points_crps,-0.08919732852272824,-0.22183019622632774,0.05874441059753797,264,11
M7,MW19,automatic_promotion_brier,-0.000259062424242423,-0.003333356554924243,0.0032322389204545465,264,11
M7,MW19,playoff_qualification_brier,-0.003897789696969696,-0.011786154943181814,0.0038737678958333356,264,11
M7,MW19,promotion_brier,-0.0021566333333333334,-0.005473786827651515,0.002304053814393932,264,11
M7,MW19,relegation_brier,-0.0004635314393939386,-0.007550104389204549,0.00617677707102273,264,11
M7,MW19,title_brier,-0.0004195365151515157,-0.003326469136363637,0.003217495865530303,264,11
M7,MW30,rank_rps,-0.0008945170256916981,-0.0020403493504611322,0.0003693759107378131,264,11
M7,MW30,points_crps,-0.03864708943181743,-0.10873512304356084,0.03357277177083478,264,11
M7,MW30,automatic_promotion_brier,0.0015763570643939394,-0.000496319357954544,0.0035429623584280257,264,11
M7,MW30,playoff_qualification_brier,-0.00016897312500000402,-0.0036389752102272727,0.003072668108901511,264,11
M7,MW30,promotion_brier,0.00024386729166666805,-0.0021693603768939388,0.003044959645833336,264,11
M7,MW30,relegation_brier,-0.001456615454545454,-0.005889101034090914,0.0024840638977272718,264,11
M7,MW30,title_brier,0.0007514716666666664,-0.001687005515151514,0.0036650669829545466,264,11
