model_id,origin,metric,difference_vs_M2,season_cluster_ci_low,season_cluster_ci_high,club_seasons,seasons
M7,preseason,rank_rps,-0.019673975139895335,-0.031191161208861715,-0.008650999389618568,216,9
M7,preseason,points_crps,-0.9615815960185193,-1.5482119225000002,-0.43605749968287305,216,9
M7,preseason,automatic_promotion_brier,-0.013035015740740738,-0.02240808537037037,-0.003369262224537039,216,9
M7,preseason,playoff_qualification_brier,-0.007801970740740738,-0.015025830912037033,-0.0019392328587962972,216,9
M7,preseason,promotion_brier,-0.014749448148148147,-0.024850836229166666,-0.004263221527777778,216,9
M7,preseason,relegation_brier,-0.015520291736111112,-0.029402256018518518,-0.0006535472690972298,216,9
M7,preseason,title_brier,-0.003377286388888889,-0.00878663821990741,0.004279958087962963,216,9
M7,MW6,rank_rps,-0.010851729587359095,-0.016702585239558167,-0.0041592680846668645,216,9
M7,MW6,points_crps,-0.3621415893055549,-0.7506135471770803,0.03726196917824076,216,9
M7,MW6,automatic_promotion_brier,0.0015459039814814813,-0.010084681666666666,0.016070969435185184,216,9
M7,MW6,playoff_qualification_brier,-0.005010770370370371,-0.01098614359259259,0.001874097682870371,216,9
M7,MW6,promotion_brier,0.0002558135185185165,-0.012006361851851851,0.014210263127314798,216,9
M7,MW6,relegation_brier,-0.01166581212962963,-0.022379648060185185,-0.0005797322569444421,216,9
M7,MW6,title_brier,-0.0037418365740740736,-0.009975967412037039,0.002608682870370371,216,9
M7,MW12,rank_rps,-0.007786014414251206,-0.011638477776771336,-0.004330258640021137,216,9
M7,MW12,points_crps,-0.36680620060185243,-0.6101272774212979,-0.15529319828819552,216,9
M7,MW12,automatic_promotion_brier,-0.0012246087962962979,-0.007638584462962966,0.007658282129629631,216,9
M7,MW12,playoff_qualification_brier,-0.0039187764120370405,-0.008539173228009263,0.0010613739050925857,216,9
M7,MW12,promotion_brier,0.001049098425925924,-0.007951983025462968,0.01083732088888888,216,9
M7,MW12,relegation_brier,-0.008140604375,-0.016616157936921297,0.0009446154635416671,216,9
M7,MW12,title_brier,-0.002090361666666666,-0.006210545092592592,0.002198490597222223,216,9
M7,MW19,rank_rps,-0.004065596632447664,-0.0074538297011876005,-0.0006194255962661069,216,9
M7,MW19,points_crps,-0.07953163583333263,-0.25666095344560236,0.10326415060185257,216,9
M7,MW19,automatic_promotion_brier,0.005114920277777779,-0.0025867790393518525,0.013331060740740737,216,9
M7,MW19,playoff_qualification_brier,0.0036257034259259257,-0.0021791115717592602,0.00945295144675926,216,9
M7,MW19,promotion_brier,0.004816817499999997,-0.002317203333333337,0.01192585549537037,216,9
M7,MW19,relegation_brier,-0.006271194074074076,-0.011967958055555561,-0.0009126386898148161,216,9
M7,MW19,title_brier,-0.0016765074074074082,-0.006767793423611111,0.0035389461759259147,216,9
M7,MW30,rank_rps,-0.0022616525603864714,-0.004297839982538241,-0.0007284869394122366,216,9
M7,MW30,points_crps,-0.04966679523148111,-0.1217271126643501,0.028291936547453257,216,9
M7,MW30,automatic_promotion_brier,0.003940128888888891,-0.00023451094675925991,0.00847864050462963,216,9
M7,MW30,playoff_qualification_brier,0.001365340833333336,-0.003588154215277773,0.005670252749999999,216,9
M7,MW30,promotion_brier,0.002674941203703703,-0.0012865459120370377,0.006589305141203702,216,9
M7,MW30,relegation_brier,-0.004158094537037037,-0.006909138611111112,-0.0008267500925925897,216,9
M7,MW30,title_brier,-0.0032362915740740753,-0.007486371203703704,0.0012914088865740728,216,9
