model_id,origin,metric,difference_vs_M2,season_cluster_ci_low,season_cluster_ci_high,club_seasons,seasons
M7,preseason,rank_rps,-0.010987349876207725,-0.0260512370108444,0.00348544697861311,216,9
M7,preseason,points_crps,-0.45690912787037163,-0.9536824161597239,0.036379050111109264,216,9
M7,preseason,automatic_promotion_brier,-0.0034242600694444434,-0.012518198490740737,0.0056358933408564805,216,9
M7,preseason,playoff_qualification_brier,-0.004109183912037035,-0.011439194855324073,0.0024330530781250014,216,9
M7,preseason,promotion_brier,-0.006633139050925926,-0.01688288096296296,0.0034589564351851813,216,9
M7,preseason,relegation_brier,-0.0075492532638888905,-0.013766778361111112,-0.0009403239554398205,216,9
M7,preseason,title_brier,-0.0010082787962962957,-0.004990626425925925,0.0038703211018518524,216,9
M7,MW6,rank_rps,-0.012307642695249598,-0.018591097907709336,-0.0052201543739935595,216,9
M7,MW6,points_crps,-0.4755974533333334,-0.7614725998148137,-0.1535546595706032,216,9
M7,MW6,automatic_promotion_brier,-0.002392807314814815,-0.013823128004629627,0.007028112060185173,216,9
M7,MW6,playoff_qualification_brier,-0.00303070953703704,-0.009797910458333337,0.0031081234346064775,216,9
M7,MW6,promotion_brier,-0.007394568518518518,-0.01921758417013889,0.0028895151157407404,216,9
M7,MW6,relegation_brier,-0.014999134537037039,-0.02525428331018519,-0.0038906410717592698,216,9
M7,MW6,title_brier,-0.0010637293518518521,-0.005058401666666667,0.0030618854930555537,216,9
M7,MW12,rank_rps,-0.004910762997181962,-0.012098469262278581,0.0018182999292220123,216,9
M7,MW12,points_crps,-0.23919894194444483,-0.5057500786122704,0.05356922863425971,216,9
M7,MW12,automatic_promotion_brier,-0.001785494444444446,-0.009472776759259262,0.006358105648148148,216,9
M7,MW12,playoff_qualification_brier,-0.0037277246990740733,-0.011424160532407406,0.004309590555555557,216,9
M7,MW12,promotion_brier,-0.0024346212962962992,-0.012420267685185189,0.007856947037037036,216,9
M7,MW12,relegation_brier,-0.009360237314814819,-0.01719050268055556,-0.0019090870902777873,216,9
M7,MW12,title_brier,-0.0008988762037037046,-0.0047051720509259255,0.003560405108796287,216,9
M7,MW19,rank_rps,-0.002372894572262481,-0.005573901279111313,0.0008948107836151374,216,9
M7,MW19,points_crps,-0.12617893416666673,-0.286150608019676,0.03991070175926018,216,9
M7,MW19,automatic_promotion_brier,0.002563442314814813,-0.0035248755486111077,0.009358914351851847,216,9
M7,MW19,playoff_qualification_brier,0.00265069085648148,-0.001993199331597224,0.008025848170717591,216,9
M7,MW19,promotion_brier,0.0015211778703703716,-0.006519069666666666,0.009593361548611106,216,9
M7,MW19,relegation_brier,-0.012224720000000001,-0.01992844259027778,-0.00475352946064815,216,9
M7,MW19,title_brier,-0.0022956185185185204,-0.005644461208333334,0.0011407468055555532,216,9
M7,MW30,rank_rps,-0.0007730329106280195,-0.0026293296205968236,0.0009396125975493173,216,9
M7,MW30,points_crps,-0.040200771990740604,-0.15221654393518586,0.06435021106481496,216,9
M7,MW30,automatic_promotion_brier,0.001993829166666666,-0.0016273533078703748,0.006092518050925926,216,9
M7,MW30,playoff_qualification_brier,0.00040256787037037207,-0.0022132650925925914,0.00306712629861111,216,9
M7,MW30,promotion_brier,0.0006709145370370365,-0.003954091252314819,0.005278321331018519,216,9
M7,MW30,relegation_brier,-0.0024826886342592582,-0.006434702153935181,0.0009607884901620358,216,9
M7,MW30,title_brier,-0.0002562985185185194,-0.002195157453703704,0.0015806791666666655,216,9
