alias_api_id,api_id,fixture_id,team_api_id,shirt_number,source_sha256
17461,83028,17873,747,29,74de0b19598a4a181b35d3ff0458df29131493e587d2fee0dd5c61c52af47687
17932,231395,592973,43,29,45e358a209470f1bac07d816b71fbbcd61583aebe211b1cf56595761e95e4b18
18146,83024,17880,37,1,74de0b19598a4a181b35d3ff0458df29131493e587d2fee0dd5c61c52af47687
18737,82015,11934,39,21,ab86081cb401665294c5d1afc4f348e8c4514d95de14e186956dcbdcceb518f7
18985,82013,11941,72,1,5e8105c99bb0e5082c16cc1f063d17c89a8032bf46c15927ff3caf6ee9fe98d6
19341,115954,164184,56,1,2d0bec93d95fdcad6dc07847cd03009e96f91ac7006aaad7aab1571d8f1d7c3f
19837,82027,12035,746,7,c22c6546327b168cd9739c1d7a8f32ad117673e9b7b6d706fc63c9d0943d9a40
20589,90588,164193,55,19,05c240a54c39d91f5fa3e8a724566a3d264c9c7e6f742ec4acb268ca870dc6c6
36843,105793,164201,72,6,05c240a54c39d91f5fa3e8a724566a3d264c9c7e6f742ec4acb268ca870dc6c6
37375,82005,11916,53,4,74a47ba5af1f76600af636bfe259411a55fcdbcd3a6289174fd48ba1e8f23370
47143,104867,164186,54,17,2d0bec93d95fdcad6dc07847cd03009e96f91ac7006aaad7aab1571d8f1d7c3f
180289,180168,593278,35,38,ae201bf0b79342fb67fa3b59828f69bc8219362c425c64cb32206823d74213d6
199312,182282,157221,52,40,ef0a62fee1278c42f2613457ff51a758d6675fbee7248bef45c6d6fdde60c648
223290,265541,874699,64,28,227e3920b4dae430893a06a7c98f155f7dc74f7b1eed46d0ae73f2b906052fa8
284475,153077,867947,36,38,ba927a530ec712064a393af8382cbc7813a4211755786c9b17f245f6952c6226
284517,326772,716863,53,35,74a255ef469c3b37c0bfcde57f3c2b6f58ba952480580c7699b894a23e9e397a
291417,307861,1215880,70,44,b4f98e5f7bcce01653c10bb1227430c5b769da2984cb72a58d6e408a2a5c27e3
294904,167661,593062,56,33,33c3f28bf0050c67acadf66bfe79a1d09ee1470836346dcc1140a7b740e22cb8
297640,389306,1208065,45,75,5d555c60f654ee43a9a6efb194f6acd39a70e63b4c83cf55c9e530d322149730
298127,292124,593269,53,50,ae201bf0b79342fb67fa3b59828f69bc8219362c425c64cb32206823d74213d6
298128,138936,1047439,1357,29,696bdb4112d197a6c0c8b33a59b4a034ee3992fe0b4a255e43757a892eb63546
307859,326873,1386570,1338,36,88cdb54d43615da9da75dcbef6b06efff48f2705d32678923411652bf68ffb92
309812,398859,1215926,38,41,072f190898ce630151b037f16b4275118c812db69108b250bff6328fd5107f48
313059,396757,868021,63,49,94e2957978a9a73ac61c348285c74f88f3e48ff4bfc127de270d93e3ec791023
342660,359366,717234,62,42,ce5a5dd90765ad7af20283dcf42ede448a75a8225380bd352afa31ee4d69639c
356419,394294,1386554,1335,7,b022e38ef7e6331bbc67b6d18e7d190d6f37e32c6462f8f4efa48ded1581ceb8
375467,340242,1215885,58,16,7b4c34aed51b8e9e4086339c4065b13c54e317be6fcb8f5a1509b31d92f2382a
389040,328715,880829,75,44,98636767a84651223a508fd742d5cf2196a01f580f601acbdf8cd7b9cd570078
391778,301469,1216308,72,34,5ea379f83096a4fde40412d68948c033b668773d10751dcd6656621facc2ede3
401877,369337,881135,72,48,7dcafe65269345b43c16484f383e2a8ae647ab6225e8fb16c67dbcfc0a43ca66
425199,309814,1216193,75,18,30adff0193a393a88cd27cc44be790fd8c85b64c387594193843263be4c656ad
428076,216291,1215898,746,30,7b4c34aed51b8e9e4086339c4065b13c54e317be6fcb8f5a1509b31d92f2382a
443634,444291,1216362,63,45,d4b009b037bd5609b536f364c6703ee2b7d48a9dbb59c6c77cc5bd4be0fb6fe4
490151,395851,1563090,76,30,9945e3d1666e81c25123831ee7833781c2a36b80b3932c29ba27fc20ca2caa8b
529951,567998,1379145,34,85,939d16903da79aaaf9e960e980d8a1816d948ddf6eaa586c12ed0ad003331c35
531386,297641,1563085,58,14,9945e3d1666e81c25123831ee7833781c2a36b80b3932c29ba27fc20ca2caa8b
538415,451564,1386711,56,34,7ea0276b123c5929b386750ca091759c07d89790f08770f24b69fdacbbe8a3cc
544613,416190,1386552,64,40,b022e38ef7e6331bbc67b6d18e7d190d6f37e32c6462f8f4efa48ded1581ceb8
544615,444598,1386608,71,48,e39480c8084b94ea0dc4de2323cd94d673a9f6d590b49ed93d0a42093c7d3135
544616,470048,1386637,74,30,9ddc16d96d2fde755b075ee128963b073f61670fb96fb4e0fb85a852eb121961
544659,330982,1563088,60,11,9945e3d1666e81c25123831ee7833781c2a36b80b3932c29ba27fc20ca2caa8b
546625,380669,1386915,69,54,d58e2e060c07b7b3fef214260599625eef0ffb3a87dadf804a2883628472971b
546703,360269,1378989,66,45,a66afca1f9a046ecdefa54ef94aa93977bd3d3b0057640685f72003befc37582
551418,459283,1386695,59,38,7ea0276b123c5929b386750ca091759c07d89790f08770f24b69fdacbbe8a3cc
553065,405530,1379068,48,63,1e6c9e171d80e5b11711e5531c5afaf751a44f95c4ae29bf19c0fb114bda3023
