source_name,team_id,team_name
Arsenal,arsenal,Arsenal
Aston Villa,aston-villa,Aston Villa
Barnsley,barnsley,Barnsley
Birmingham,birmingham-city,Birmingham City
Blackburn,blackburn-rovers,Blackburn Rovers
Blackpool,blackpool,Blackpool
Bolton,bolton-wanderers,Bolton Wanderers
Bournemouth,bournemouth,AFC Bournemouth
Brentford,brentford,Brentford
Brighton,brighton-hove-albion,Brighton and Hove Albion
Bristol City,bristol-city,Bristol City
Burnley,burnley,Burnley
Burton,burton-albion,Burton Albion
Cardiff,cardiff-city,Cardiff City
Charlton,charlton-athletic,Charlton Athletic
Chelsea,chelsea,Chelsea
Coventry,coventry-city,Coventry City
Crystal Palace,crystal-palace,Crystal Palace
Derby,derby-county,Derby County
Doncaster,doncaster-rovers,Doncaster Rovers
Everton,everton,Everton
Fulham,fulham,Fulham
Huddersfield,huddersfield-town,Huddersfield Town
Hull,hull-city,Hull City
Ipswich,ipswich-town,Ipswich Town
Leeds,leeds-united,Leeds United
Leicester,leicester-city,Leicester City
Liverpool,liverpool,Liverpool
Luton,luton-town,Luton Town
Man City,manchester-city,Manchester City
Man United,manchester-united,Manchester United
Middlesbrough,middlesbrough,Middlesbrough
Millwall,millwall,Millwall
Milton Keynes Dons,milton-keynes-dons,Milton Keynes Dons
Newcastle,newcastle-united,Newcastle United
Norwich,norwich-city,Norwich City
Nott'm Forest,nottingham-forest,Nottingham Forest
Oxford,oxford-united,Oxford United
Peterboro,peterborough-united,Peterborough United
Plymouth,plymouth-argyle,Plymouth Argyle
Portsmouth,portsmouth,Portsmouth
Preston,preston-north-end,Preston North End
QPR,queens-park-rangers,Queens Park Rangers
Reading,reading,Reading
Rotherham,rotherham-united,Rotherham United
Scunthorpe,scunthorpe-united,Scunthorpe United
Sheffield United,sheffield-united,Sheffield United
Sheffield Weds,sheffield-wednesday,Sheffield Wednesday
Southampton,southampton,Southampton
Stoke,stoke-city,Stoke City
Sunderland,sunderland,Sunderland
Swansea,swansea-city,Swansea City
Tottenham,tottenham-hotspur,Tottenham Hotspur
Watford,watford,Watford
West Brom,west-bromwich-albion,West Bromwich Albion
West Ham,west-ham-united,West Ham United
Wigan,wigan-athletic,Wigan Athletic
Wolves,wolverhampton-wanderers,Wolverhampton Wanderers
Wrexham,wrexham,Wrexham
Wycombe,wycombe-wanderers,Wycombe Wanderers
Yeovil,yeovil-town,Yeovil Town

